case_id,sub_archetype,canonical_archetype,posture,status
convenience_store_efficiency_success_candidate,RETAIL_CONVENIENCE_OFFLINE,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,planned_case_record
home_shopping_margin_decline_counterexample,RETAIL_CONVENIENCE_OFFLINE,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,planned_case_record
ecommerce_fresh_logistics_candidate,ECOMMERCE_FRESH_LOGISTICS,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,planned_case_record
china_direct_purchase_margin_pressure_counterexample,ECOMMERCE_FRESH_LOGISTICS,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,planned_case_record
nonlife_insurance_loss_ratio_success_candidate,INSURANCE_UNDERWRITING_CYCLE,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,planned_case_record
life_insurance_csm_candidate,INSURANCE_UNDERWRITING_CYCLE,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,planned_case_record
stablecoin_payment_infra_candidate,PAYMENT_FINTECH_INFRA,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,planned_case_record
sto_platform_candidate,PAYMENT_FINTECH_INFRA,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,planned_case_record
crypto_theme_no_revenue_counterexample,DIGITAL_ASSET_TOKENIZATION,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,planned_case_record
regulation_crackdown_4c,DIGITAL_ASSET_TOKENIZATION,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,planned_case_record
kbeauty_oem_odm_success_candidate,BEAUTY_OEM_ODM_SUPPLYCHAIN,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,planned_case_record
channel_stuffing_receivables_4c,BEAUTY_OEM_ODM_SUPPLYCHAIN,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,planned_case_record
pork_price_cycle_candidate,AGRI_LIVESTOCK_FOOD_COMMODITY,COMMODITY_SPREAD,REDTEAM_FIRST,planned_case_record
feed_cost_squeeze_counterexample,AGRI_LIVESTOCK_FOOD_COMMODITY,COMMODITY_SPREAD,REDTEAM_FIRST,planned_case_record
cement_price_hike_candidate,BUILDING_MATERIALS_CYCLE,COMMODITY_SPREAD,REDTEAM_FIRST,planned_case_record
housing_slowdown_materials_4c,BUILDING_MATERIALS_CYCLE,COMMODITY_SPREAD,REDTEAM_FIRST,planned_case_record
heatwave_power_demand_candidate,RENEWABLE_ENERGY_POLICY,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,planned_case_record
disaster_rebuild_materials_event,RENEWABLE_ENERGY_POLICY,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,planned_case_record
hydrogen_fuel_cell_plant_candidate,HYDROGEN_FUEL_CELL_INFRA,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,planned_case_record
hydrogen_theme_no_revenue_counterexample,HYDROGEN_FUEL_CELL_INFRA,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,planned_case_record
solar_policy_candidate,SOLAR_TARIFF_SUPPLYCHAIN,UTILITIES_REGULATED_TARIFF,REDTEAM_FIRST,planned_case_record
solar_tariff_supplychain_4c,SOLAR_TARIFF_SUPPLYCHAIN,UTILITIES_REGULATED_TARIFF,REDTEAM_FIRST,planned_case_record
tire_spread_success_candidate,TIRE_AUTO_COMPONENT_SPREAD,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,planned_case_record
factory_fire_4c_counterexample,TIRE_AUTO_COMPONENT_SPREAD,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,planned_case_record
infectious_disease_oneoff_counterexample,EVENT_DISEASE_PEST_DEMAND,ONE_OFF_EVENT_DEMAND,REDTEAM_FIRST,planned_case_record
fine_dust_mask_oneoff_counterexample,EVENT_DISEASE_PEST_DEMAND,ONE_OFF_EVENT_DEMAND,REDTEAM_FIRST,planned_case_record
speculative_science_theme_counterexample,SPECULATIVE_SCIENCE_THEME,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,planned_case_record
ai_dc_theme_no_order,SPECULATIVE_SCIENCE_THEME,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,planned_case_record
waste_recycling_candidate,WASTE_RECYCLING_ENVIRONMENT,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,planned_case_record
battery_recycling_price_reversal_counterexample,WASTE_RECYCLING_ENVIRONMENT,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,planned_case_record
media_ad_recovery_candidate,MEDIA_AD_CONTENT_CYCLE,GAME_CONTENT_IP,WATCH_YELLOW_FIRST,planned_case_record
new_game_hype_fail,MEDIA_AD_CONTENT_CYCLE,GAME_CONTENT_IP,WATCH_YELLOW_FIRST,planned_case_record
douzone_saas_candidate,CLOUD_AI_SOFTWARE_INFRA,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,planned_case_record
mau_only_platform,CLOUD_AI_SOFTWARE_INFRA,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,planned_case_record
security_identity_candidate,SECURITY_IDENTITY_DEEPFAKE,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,planned_case_record
deepfake_theme_no_revenue_counterexample,SECURITY_IDENTITY_DEEPFAKE,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,planned_case_record
