target_id,stage1,stage2,stage3,stage4b,stage4c,loop11_penalty_axes,hard_gate,production_scoring_changed
ESS_LFP_GRID_STORAGE_KOREA,ess_growth|lfp_ess|data_center_power|ev_line_conversion,ess_contract_value|supply_period|production_start_2027|line_conversion|price_reaction,ess_revenue_recognition|ess_opm|converted_line_utilization|repeat_ess_contract|fcf_improvement,ess_basket_crowded|contract_priced_before_margin,customer_undisclosed|line_conversion_delay|ess_margin_miss|revenue_recognition_delay,customer_disclosure|opm_utilization|line_conversion,false,false
EV_TO_ESS_CAPACITY_REDEPLOYMENT_KOREA,ev_demand_slowdown|ev_line_to_ess|storage_redeployment,line_conversion_plan|ess_customer_contract|converted_line_capacity|production_start,converted_line_utilization|ess_opm|ev_idle_cost_offset|fcf_conversion,ev_failure_reframed_as_ess_crowded|redeployment_priced_before_utilization,conversion_cost_increase|low_utilization|ess_contract_absent|ev_write_down_continues,utilization|conversion_cost|contract_absent,false,false
ANODE_GRAPHITE_SUPPLYCHAIN_KOREA,graphite_dependency|us_graphite_tariff|ira_feoc_supply_chain|anode_material,six_year_graphite_offtake|monthly_tonnage|expansion_option|quarterly_price_negotiation,anode_revenue|gross_margin|customer_reorder|china_substitution_actual|fcf,tariff_event_rally_20pct|graphite_keyword_crowded,quality_or_supply_capacity_issue|quarterly_pricing_margin_risk|anode_opm_missing|customer_adoption_missing,event_rally|pricing_risk|opm_missing,false,false
CATHODE_LONG_CONTRACT_VISIBILITY,cathode_contract|cathode_plant_ownership|north_america_supply_chain|china_dependency_reduction,long_term_order|customer_name|plant_stake_realign|ownership_change|supply_chain_realignment,plant_utilization|customer_contract|opm_fcf_improvement|lithium_pass_through_stable,cathode_policy_rally|ownership_event_priced_before_margin,asp_linked_to_lithium_downturn|margin_compression|customer_concentration|opm_missing,margin|lithium_price|customer_concentration,false,false
LITHIUM_RESOURCE_SECURITY_KOREA,lithium_resource_security|mine_stake|spodumene|offtake,mine_name|jv_stake|deal_value|spodumene_rights,low_cost_offtake|material_margin_improvement|fcf_improvement|cycle_bottom_evidence,resource_security_narrative_priced|lithium_rebound_crowded,lithium_price_long_weakness|impairment|capex_burden|offtake_economics_missing,commodity_cycle|capex|impairment,false,false
BATTERY_MATERIALS_CAPEX_OVERHEAT_KOREA,precursor_vertical_integration|cathode_material_capa|ipo_or_capa_narrative,ipo|capa_expansion|customer_supply_chain_exposure,not_green_until_utilization_margin_fcf_and_customer_demand_recover,retail_investor_rally|materials_theme_crowded|capa_narrative_priced,weak_ev_demand|mineral_price_drop|operating_loss|customer_strategy_retreat|capa_overbuild,ev_demand|losses|customer_strategy|capa_overbuild,false,false
SEPARATOR_EV_DEMAND_CYCLE,separator_demand|ev_battery_shipments|panasonic_or_sk_on_customer,separator_customer_exposure|capacity_plan|utilization_signal,not_green_until_utilization_margin_and_customer_diversification_recover,separator_rebound_priced_before_ev_recovery,ev_demand_slowdown|sk_on_loss_expansion|sale_review|utilization_risk|customer_capex_cut,ev_demand|utilization|sale_review,false,false
ELECTROLYTE_CAPA_SUPPLYCHAIN,electrolyte_capa|electrolyte_supply_chain|customer_capa_plan,customer_contract|capa_ramp|regional_supply_chain|shipment_schedule,electrolyte_revenue|opm|customer_diversification|fcf_conversion,electrolyte_capa_theme_crowded,customer_contract_missing|price_pressure|utilization_miss|single_customer,contract_missing|utilization|price_pressure,false,false
SILICON_ANODE_COMMERCIALIZATION,silicon_anode|energy_density|potential_cell_customers,customer_qualification|pilot_volume|commercialization_schedule,commercial_volume_revenue|asp_margin|customer_diversification|op_eps_revision,silicon_anode_theme_crowded|commercialization_priced_before_volume,qualification_delay|commercial_volume_missing|margin_unknown|cash_burn,commercialization|volume|margin,false,false
EVENT_LITHIUM_PRICE_RALLY,catl_mine_suspension|lithium_price_rebound|battery_materials_price_rally,one_day_10pct_rally|sentiment_driven_lithium_supply_shock,not_green_without_contract_margin_fcf_customer_demand,one_day_10_20pct_event_rally|lithium_keyword_crowding,mine_license_renewed|supply_resumes|lithium_price_redeclines|op_eps_not_following,event_rally|commodity_cycle|op_eps_missing,true,false
CONTRACT_CANCELLATION_CUSTOMER_STRATEGY_RISK,customer_strategy_change|ev_model_cancel|supply_contract_review|battery_content_cut,risk_event_detected,not_green_until_customer_strategy_and_contract_visibility_recovered,positive_capa_story_ignores_customer_strategy_risk,customer_contract_cancelled|automaker_ev_retreat|factory_idle|operating_loss|expected_revenue_loss,customer_strategy_risk|contract_cancelled|factory_idle|losses,true,false
DISCLOSURE_CONFIDENCE_CAP,battery_contract_headline|opendart_list_only|customer_confidential,detail_fetched|contract_amount|counterparty|contract_period|gwh_or_tonnage,multi_source_confirmation|contract_terms_verified|opm_utilization_visible,undisclosed_battery_contract_theme_crowded,customer_undisclosed|amount_missing|period_missing|margin_unknown|production_start_unknown,disclosure_confidence|detail_missing,false,false
